Abstract ID,Type,Category,Title,Country,Presenting,Status
,,,,,,
20250001,Any presentation,Pediatric,Three and Four Courses of Radiation for Children with Recurrent Diffuse Intrinsic Pontine Glioma,Malaysia,Nisha Shariff ,Accepted
20250002,Any presentation,Breast,Radiation induced hypothyroidism in locally advanced breast cancer,India,Suryakanta Acharya ,Reviewed
20250003,digital poster,Head and Neck,Late adverse effects after high-precision radiotherapy for malignant sinonasal tumours,Japan,Koichi Yasuda ,Reviewed
20250004,Any presentation,Health economics,Cost Evaluation of Hypofractionted versus Conventionally Fractionated Post-mastectomy Radiotherapy,Philippines,Ariz Rigor R. Reillo ,Reviewed
20250005,Any presentation,GU,BO-RT versus WP-RT in TMT for N0 Urothelial MIBC: A Systematic Review and Meta-analysis,Philippines,"Alyssa Anne E. Granda, MD ",Reviewed
20250007,oral presentation,Gynecologic malignancy,2.5 Dimensional Brachytherapy: Bridging the Gap in Image-Guided  Brachytherapy with Ultrasound,Philippines,Patricia Ong ,Reviewed
20250008,Any presentation,Other,Electron radiotherapy for merkel cell carcinoma of the knee in medically inoperable patients,Korea South,mijo lee ,Reviewed
20250009,Any presentation,Breast,Impact of Radiotherapy on Quality of life of patients ~ A Prospective Study,India,Anmol Mahani ,Reviewed
20250010,Any presentation,Other,Utilizing ARIMA models to forecast the demand for geriatric radiotherapy at Songklanagarind Hospital,Thailand,Thanarpan Peerawong ,Reviewed
20250011,digital poster,Lung (including other thoracic tumors),Target Volume Reduction and Lung Dose Sparing in Radixact® Real-Time Motion Tracking: A Case Report,Thailand,Anupong Kongsa ,Reviewed
20250012,Any presentation,Head and Neck,Retrospective Analysis of Triplet Oral Metronomic Chemotherapy in Head and Neck Cancers,India,DR RAJU MATHEW CYRIAC ,Reviewed
20250014,Any presentation,Lung (including other thoracic tumors),Stereotactic Body Radiotherapy (SBRT) versus Percutaneous Thermal Ablation for Early-Stage NSCLC,China,Chengrui Fu ,Reviewed
20250015,digital poster,Head and Neck,Dose-Dependent Taste Dysfunction in Head and Neck Cancer Patients Receiving Radiotherapy,China,Suman Zhang ,Reviewed
20250016,Any presentation,Head and Neck,Risk-Adapted Induction Chemotherapy Using Liquid Biopsy and TNM Stage in Nasopharyngeal Carcinoma,China,Pengjie Ji ,Reviewed
20250017,oral presentation,Other,Deep learning-based auto-segmentation model for OAR in thoracic and breast cancer radiotherapy,China,Gengmin Niu ,Reviewed
20250019,oral presentation,Head and Neck,Neoadjuvant Chemoimmunotherapy in Oral and Oropharyngeal Squamous Cell Carcinoma,China,Ying Chen ,Reviewed
20250020,Any presentation,Gynecologic malignancy,Curved-needle ISBT for recurrent gynecologic tumors post-EBRT: development and evaluation,China,Zheng Zeng ,Reviewed
20250021,Any presentation,Gynecologic malignancy,Feasibility of Moderate Hypofractionated Online ART for Cervical Cancer Treatment,China,Zheng Zeng ,Reviewed
20250022,Any presentation,Gynecologic malignancy,Real-world outcomes of moderate vs. conventional fractionated radiotherapy in cervical cancer,China,Zheng Zeng ,Reviewed
20250023,Any presentation,Lung (including other thoracic tumors),Deep Learning Model Predicts Distant Metastasis after SBRT for Early-Stage NSCLC,China,Lu Yu ,Reviewed
20250024,oral presentation,Physics,VQ-DoseNet: A Vector Quantized Model for Stochastic Radiotherapy Dose Prediction,China,Dong Yang ,Reviewed
20250026,digital poster,Head and Neck,Stereotactic Ablative Body Radiotherapy for Early Glottis Cancer,Korea South,Hong-Gyun Wu ,Reviewed
20250027,oral presentation,Hepatobiliary,Neoadjuvant RT+Lenvatinib+Sintilimab in HCC with PVTT: Phase I Interim Results,China,Guang xin Li ,Reviewed
20250028,digital poster,Palliation,Sniper versus Shotgun: A Matched Retrospective Study of SRS/SRT vs WBRT in Brain Metastases,Malaysia,Tan Keh Yee ,Submitted
20250029,Any presentation,Gynecologic malignancy,Phase 3 Trial of PEG Hydrogel in Radical CCRT for Cervical Cancer to Prevent Rectal Injury,China,Junfang Yan ,Reviewed
20250031,oral presentation,Gynecologic malignancy,A Prospective Multicenter Study of Extended-Field IMRT for Cervical Cancer,China,Guangyu Wang ,Reviewed
